Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size,Cluster
Female,21,-1.6780015104884431,0.789091792000994,1,1,-0.8975992041943422,0
Male,53,-1.1312917238295785,-1.681575645234109,5,1,-0.3900508840392152,0
Male,18,-1.0656865494305148,1.4694205066019643,6,9,1.6401423965812933,1
Female,49,-0.43150319690623196,-1.3235079007072825,7,1,-0.8975992041943422,0
Female,21,-0.34402963104081363,1.0755459876224553,5,3,0.11749743611591194,0
Female,42,-2.1153693398155347,-1.2160875773492346,1,5,-1.4051475243494693,1
Female,30,-1.0656865494305148,0.789091792000994,5,1,0.6250457562710391,0
Female,36,-2.2247112971473078,-0.8938266072750907,0,8,-0.8975992041943422,1
Female,20,-0.9126078091660328,0.8607053409063593,0,8,-0.8975992041943422,1
Female,65,-1.8748170336856342,-0.5715656372009468,0,4,-1.4051475243494693,0
Male,24,-0.5627135457043595,1.4694205066019643,5,0,-0.8975992041943422,0
Male,48,-1.940422208084698,-0.5357588627482641,0,14,-0.3900508840392152,1
Female,31,-1.6998699019547976,0.3594104985688022,0,1,-0.8975992041943422,0
Female,49,-0.847002634766969,-0.8222130583697254,2,8,-1.4051475243494693,1
Female,24,-2.355921645945435,0.5026375963795328,7,4,-0.8975992041943422,0
Female,50,-1.2843704640940605,0.14456985185270627,0,0,0.11749743611591194,0
Female,27,-0.8688710262333236,-0.14188434376875497,5,12,-1.4051475243494693,1
Female,29,-0.7157922859688415,-0.32091821603216825,5,0,0.11749743611591194,0
Female,31,-1.8748170336856342,-0.32091821603216825,2,1,-1.4051475243494693,0
Female,49,-0.4971083713052957,0.0371495284946583,0,1,-0.8975992041943422,0
Male,33,-0.30029284810810447,0.32360372411611954,0,1,-0.8975992041943422,0
Female,31,-0.8032658518342598,0.10876307740002361,0,1,-1.4051475243494693,0
Male,59,-0.9344762006323873,0.32360372411611954,3,0,-0.8975992041943422,0
Female,50,-2.0278957739501164,-0.21349789267412028,8,1,-1.4051475243494693,0
Male,47,-0.34402963104081363,-0.3567249904848509,0,14,-0.8975992041943422,1
Female,51,-0.8688710262333236,-0.034464020410707,5,9,0.11749743611591194,1
Male,69,-2.246579688613662,-0.17769111822143763,1,8,-0.8975992041943422,1
Female,27,-1.1750285067622877,0.0013427540419756504,0,1,-0.3900508840392152,0
Male,53,-0.4752399798389411,-0.17769111822143763,7,1,1.1325940764261662,0
Male,70,-0.584581937170714,0.18037662630538892,0,0,-0.8975992041943422,0
Male,19,-1.3281072470267699,0.14456985185270627,0,9,-0.8975992041943422,1
Female,67,-1.3281072470267699,0.0371495284946583,7,0,-0.3900508840392152,0
Female,54,-1.371844029959479,0.2877969496634369,7,1,-0.8975992041943422,0
Male,63,-1.0438181579641603,0.0013427540419756504,7,7,-0.8975992041943422,1
Male,18,-2.2247112971473078,0.2877969496634369,3,0,-0.8975992041943422,0
Female,43,-2.355921645945435,-0.034464020410707,1,0,-0.8975992041943422,0
Female,68,-0.6283187201034232,-0.1060775693160723,0,8,0.11749743611591194,1
Male,19,-0.6501871115697778,0.2877969496634369,0,0,0.11749743611591194,0
Female,32,-0.30029284810810447,-0.14188434376875497,6,2,-0.8975992041943422,0
Male,70,-0.43150319690623196,0.14456985185270627,5,8,-0.8975992041943422,1
Female,47,-2.2247112971473078,-0.32091821603216825,3,8,-0.8975992041943422,1
Female,60,-1.4593175958248972,-0.07027079486338966,0,0,0.6250457562710391,0
Female,60,-2.202842905680953,0.18037662630538892,5,8,0.11749743611591194,1
Male,59,-0.4752399798389411,-0.14188434376875497,0,0,0.11749743611591194,0
Male,26,-1.3499756384931243,0.10876307740002361,6,0,-0.3900508840392152,0
Female,45,-0.9563445920987419,0.07295630294734096,1,0,-0.8975992041943422,0
Male,40,-0.2565560651753953,-0.1060775693160723,0,4,-0.3900508840392152,0
Female,23,-0.30029284810810447,0.0371495284946583,2,2,-0.8975992041943422,0
Female,49,-0.2784244566417499,-0.32091821603216825,9,1,-1.4051475243494693,0
Male,57,-1.2843704640940605,0.0013427540419756504,5,0,0.11749743611591194,0
Male,38,-1.0875549408968694,0.14456985185270627,5,6,-0.3900508840392152,1
Male,67,0.2026801556180509,-0.3567249904848509,0,8,-1.4051475243494693,1
Female,46,-1.6780015104884431,-0.2493046671268029,3,8,0.11749743611591194,1
Female,21,-1.896685425151989,0.21618340075807158,8,1,-0.3900508840392152,0
Male,48,-1.743606684887507,-0.17769111822143763,5,7,0.6250457562710391,1
Female,55,-2.1809745142145984,0.25199017521075423,0,0,-0.3900508840392152,0
Female,22,-1.218765289694997,0.14456985185270627,0,5,-0.8975992041943422,1
Female,34,-0.7595290689015507,0.32360372411611954,3,7,-0.3900508840392152,1
Female,50,-1.1968968982286423,-0.17769111822143763,1,0,-0.8975992041943422,0
Female,68,-1.415580812892188,0.14456985185270627,3,0,-0.3900508840392152,0
Male,18,-1.6342647275557338,-0.3567249904848509,0,1,0.11749743611591194,0
Male,48,-0.4971083713052957,-0.07027079486338966,0,1,-0.8975992041943422,0
Female,40,-1.743606684887507,-0.39253176493753356,3,1,-0.8975992041943422,0
Female,32,-1.896685425151989,-0.32091821603216825,0,0,-1.4051475243494693,0
Male,24,-0.6720555030361324,0.0371495284946583,0,10,-1.4051475243494693,1
Female,47,-2.3777900374117897,-0.14188434376875497,0,0,-1.4051475243494693,0
Female,27,-0.9563445920987419,-0.034464020410707,0,0,-0.8975992041943422,0
Male,48,-1.1531601152959332,-0.32091821603216825,1,1,-0.8975992041943422,0
Male,20,-0.6720555030361324,-0.07027079486338966,2,3,-0.3900508840392152,0
Female,23,-1.000081375031451,-0.3567249904848509,0,0,0.11749743611591194,0
Female,49,-2.3340532544790804,-0.1060775693160723,4,1,1.6401423965812933,0
Male,67,-0.2784244566417499,0.2877969496634369,0,0,-0.3900508840392152,0
Male,26,-1.2843704640940605,0.14456985185270627,4,0,0.6250457562710391,0
Male,49,-0.5408451542380048,0.18037662630538892,5,10,-0.8975992041943422,1
Female,21,-0.6283187201034232,-0.32091821603216825,1,1,-0.8975992041943422,0
Female,66,-1.4811859872912518,-0.034464020410707,6,3,-0.8975992041943422,0
Male,54,-0.7157922859688415,-0.17769111822143763,7,1,-1.4051475243494693,0
Male,68,-2.137237731281889,-0.2851114415794856,5,6,0.6250457562710391,1
Male,66,-2.137237731281889,-0.1060775693160723,5,9,-0.3900508840392152,1
Male,65,-1.6780015104884431,0.0371495284946583,3,4,0.11749743611591194,0
Female,19,-1.8748170336856342,0.10876307740002361,0,0,-1.4051475243494693,0
Female,38,-0.8688710262333236,-0.32091821603216825,1,1,0.6250457562710391,0
Male,19,-2.3777900374117897,-0.17769111822143763,0,1,-1.4051475243494693,0
Female,18,-0.30029284810810447,-0.1060775693160723,4,0,-0.3900508840392152,0
Female,19,-1.3062388555604152,-0.034464020410707,4,8,0.11749743611591194,1
Female,63,-2.2247112971473078,-0.2851114415794856,7,1,-1.4051475243494693,0
Female,49,-0.6939238945024869,0.2877969496634369,0,0,-0.8975992041943422,0
Female,51,-0.584581937170714,-0.2851114415794856,9,2,1.6401423965812933,0
Female,50,-0.5189767627716503,0.21618340075807158,0,1,-0.8975992041943422,0
Male,27,-1.6342647275557338,0.18037662630538892,4,0,-0.3900508840392152,0
Female,38,-1.3281072470267699,-0.39253176493753356,4,1,0.11749743611591194,0
Female,40,-0.30029284810810447,0.25199017521075423,2,9,0.11749743611591194,1
Male,39,-2.2903164715463715,1.4336137321492817,5,1,-0.3900508840392152,0
Female,23,-2.159106122748244,-0.7864062839170427,3,9,-0.8975992041943422,1
Female,31,-1.415580812892188,0.9323188898117246,8,1,-0.8975992041943422,0
Male,43,-0.4752399798389411,-0.5715656372009468,2,0,1.6401423965812933,0
Male,40,-2.3340532544790804,1.5768408299600123,0,0,-0.8975992041943422,0
Male,59,-1.5905279446230247,-1.4309282240653305,2,0,-0.8975992041943422,0
Male,38,-1.0219497664978057,0.8607053409063593,3,8,0.6250457562710391,1
Male,47,-0.9782129835650965,-1.5025417729706958,4,9,0.6250457562710391,1
Male,39,-1.8529486422192798,0.8607053409063593,7,0,-0.8975992041943422,0
Female,25,-1.524922770223961,-0.6073724116536294,5,6,0.11749743611591194,1
Female,31,-1.4374492043585427,0.7174782430956287,0,5,-1.4051475243494693,1
Male,20,-0.4752399798389411,-1.6457688707814264,2,1,-0.8975992041943422,0
Female,29,-0.4096348054398774,1.326193408791234,4,5,0.6250457562710391,1
Female,44,-0.7595290689015507,-1.574155321876061,0,5,-0.8975992041943422,1
Male,32,-0.5627135457043595,0.789091792000994,0,3,0.11749743611591194,0
Male,19,-1.940422208084698,-1.4667349985180131,8,8,0.11749743611591194,1
Female,35,-2.09350094834918,0.7532850175483113,0,4,0.11749743611591194,0
Female,57,-1.7217382934211523,-1.6457688707814264,2,0,-0.8975992041943422,0
Male,32,-0.9782129835650965,1.505227281054647,0,0,0.6250457562710391,0
Female,28,-1.0656865494305148,-0.39253176493753356,1,5,-0.3900508840392152,1
Female,32,-0.5627135457043595,1.2903866343385513,7,1,-0.8975992041943422,0
Male,25,-0.8688710262333236,-1.3951214496126478,2,0,0.6250457562710391,0
Male,28,-1.8529486422192798,1.6484543788653776,8,8,0.6250457562710391,1
Male,48,-1.2843704640940605,-0.5357588627482641,2,9,-0.8975992041943422,1
Female,32,-1.5905279446230247,0.8248985664536767,7,1,-1.4051475243494693,0
Female,34,-1.3062388555604152,-1.0370537050858213,5,7,0.11749743611591194,1
Male,34,-0.45337158837258656,1.3978069576965992,0,6,-0.3900508840392152,1
Male,43,-1.7654750763538614,-1.2160875773492346,7,0,2.6552390368915475,0
Male,39,-1.524922770223961,1.326193408791234,2,0,-1.4051475243494693,0
Female,44,-2.049764165416471,-1.1086672539911866,2,0,-0.8975992041943422,0
Female,38,-0.4096348054398774,0.896512115359042,0,2,-0.8975992041943422,0
Female,47,-0.6720555030361324,-1.2518943518019172,5,0,0.11749743611591194,0
Female,27,-2.202842905680953,1.3620001832439166,8,8,0.11749743611591194,1
Male,37,-2.0716325568828253,-1.788995968592157,4,1,-1.4051475243494693,0
Female,30,-0.5189767627716503,0.9681256642644073,0,3,0.11749743611591194,0
Male,34,-0.9782129835650965,-1.788995968592157,7,1,-0.8975992041943422,0
Female,30,-0.5408451542380048,0.789091792000994,0,3,-0.3900508840392152,0
Female,56,-2.2247112971473078,-0.5715656372009468,0,1,-1.4051475243494693,0
Female,29,-1.3281072470267699,1.1471595365278207,5,1,0.6250457562710391,0
Male,19,-1.6561331190220885,-1.6457688707814264,4,0,0.6250457562710391,0
Female,31,-1.1531601152959332,1.505227281054647,5,1,0.6250457562710391,0
Male,50,-1.3937124214258336,-0.8938266072750907,1,0,-0.8975992041943422,0
Female,36,-1.2406336811613514,0.8607053409063593,0,5,-0.3900508840392152,1
Male,42,-0.6939238945024869,-1.1086672539911866,6,9,-0.3900508840392152,1
Female,33,-0.6064503286370686,1.5768408299600123,0,0,0.6250457562710391,0
Female,36,-1.1750285067622877,-0.858019832822408,0,0,-0.3900508840392152,0
Male,32,-2.4215268203444986,0.4310240474741675,0,2,-0.8975992041943422,0
Male,40,-0.9126078091660328,-1.3593146751599652,0,3,0.6250457562710391,0
Male,28,-2.3340532544790804,0.8607053409063593,4,0,-0.8975992041943422,0
Male,36,-0.6939238945024869,-1.4667349985180131,7,0,-0.8975992041943422,0
Male,36,-0.2565560651753953,1.4694205066019643,0,5,-0.8975992041943422,1
Female,52,-1.9841589910174071,-1.3593146751599652,7,0,-0.8975992041943422,0
Female,30,-1.8092118592865705,1.2545798598858686,0,3,0.11749743611591194,0
Male,58,-1.787343467820216,-1.2877011262545999,2,11,-1.4051475243494693,1
Male,27,-1.4374492043585427,0.6458646941902634,5,2,1.1325940764261662,0
Male,59,-0.5408451542380048,-1.3235079007072825,5,4,-0.3900508840392152,0
Male,35,-1.5030543787576065,1.3978069576965992,2,8,-1.4051475243494693,1
Female,37,-1.1312917238295785,-0.6789859605589947,0,7,-0.8975992041943422,1
Female,32,-1.0875549408968694,1.2545798598858686,3,7,0.6250457562710391,1
Male,46,-2.1809745142145984,-1.2877011262545999,0,7,-1.4051475243494693,1
Female,29,-0.9782129835650965,1.326193408791234,0,4,0.11749743611591194,0
Female,41,-1.5686595531566703,-0.4283385393902162,0,1,-1.4051475243494693,0
Male,30,-0.847002634766969,1.6484543788653776,0,6,-0.8975992041943422,1
Female,54,-2.1153693398155347,-0.965440156180456,7,1,-0.8975992041943422,0
Male,28,-1.4593175958248972,0.6100579197375807,1,5,-0.3900508840392152,1
Female,41,-0.7595290689015507,-1.2160875773492346,2,8,-0.8975992041943422,1
Female,36,-0.34402963104081363,1.218773085433186,0,4,-0.8975992041943422,0
Female,34,-0.4096348054398774,-1.0012469306331386,0,5,-0.3900508840392152,1
Female,32,-0.2784244566417499,0.6458646941902634,0,8,-0.8975992041943422,1
Male,33,-0.3221612395744591,-1.5383485474233785,4,9,-0.8975992041943422,1
Female,38,-1.4374492043585427,1.4336137321492817,0,10,0.11749743611591194,1
Female,47,-2.246579688613662,-1.2518943518019172,0,7,-0.8975992041943422,1
Female,35,-1.415580812892188,1.00393243871709,4,1,-0.3900508840392152,0
Female,45,-0.7157922859688415,-0.8222130583697254,0,0,-0.8975992041943422,0
Male,32,-2.3340532544790804,0.8248985664536767,0,1,0.6250457562710391,0
Male,32,-0.6501871115697778,-1.180280802896552,4,1,-0.8975992041943422,0
Male,30,-1.6998699019547976,1.1471595365278207,0,4,-0.8975992041943422,0
Female,21,-1.5467911616903156,-1.4667349985180131,5,0,-0.3900508840392152,0
Male,34,-0.5627135457043595,-1.2518943518019172,5,9,-0.3900508840392152,1
Female,16,-1.1094233323632239,-1.8248027430448397,2,6,2.1476907167364208,1
Female,76,-1.1094233323632239,-0.4283385393902162,5,4,-0.8975992041943422,0
Female,62,-1.0438181579641603,0.2877969496634369,3,0,-0.8975992041943422,0
Female,63,-2.202842905680953,0.0371495284946583,5,8,-0.3900508840392152,1
Female,19,-1.218765289694997,0.3594104985688022,5,0,-0.3900508840392152,0
Male,46,-0.3877664139735228,-1.3951214496126478,0,2,-1.4051475243494693,0
Female,48,-2.09350094834918,-1.574155321876061,1,0,-0.8975992041943422,0
Female,80,-1.5686595531566703,-0.6431791861063121,2,9,0.11749743611591194,1
Female,1,-1.1750285067622877,1.505227281054647,2,1,-0.8975992041943422,0
Female,0,-1.940422208084698,1.4694205066019643,0,2,-1.4051475243494693,0
Male,86,-2.159106122748244,0.681671468642946,8,2,0.11749743611591194,0
Male,49,-1.3281072470267699,1.111352762075138,7,8,-1.4051475243494693,1
Male,48,-0.34402963104081363,0.6100579197375807,1,2,0.11749743611591194,0
Female,46,-0.9782129835650965,0.681671468642946,5,3,-0.3900508840392152,0
Male,79,-1.9841589910174071,-0.39253176493753356,1,6,-0.8975992041943422,1
Female,83,-1.6561331190220885,1.720067927770743,1,8,-0.8975992041943422,1
Female,66,-0.8688710262333236,-0.6073724116536294,4,9,-0.8975992041943422,1
Female,59,-0.7595290689015507,0.3594104985688022,9,9,-1.4051475243494693,1
Female,39,-0.584581937170714,-0.6431791861063121,0,5,-0.3900508840392152,1
Female,95,-0.847002634766969,0.0013427540419756504,2,4,-0.8975992041943422,0
Male,43,-1.6998699019547976,0.14456985185270627,0,4,-0.3900508840392152,0
Female,93,-0.3877664139735228,-0.4999520882955815,5,1,0.6250457562710391,0
Female,40,-0.6064503286370686,-0.1060775693160723,6,4,-1.4051475243494693,0
Female,78,-1.9185538166183436,-1.5383485474233785,2,1,-1.4051475243494693,0
Female,25,-1.5467911616903156,0.9323188898117246,0,5,0.11749743611591194,1
Male,76,-0.4752399798389411,1.2545798598858686,5,9,0.11749743611591194,1
Male,0,-1.6998699019547976,0.46683082192685016,8,1,-1.4051475243494693,0
Male,15,-0.36589802250716824,-0.75059950946436,5,7,-0.8975992041943422,1
Female,6,-0.3877664139735228,0.07295630294734096,7,8,-0.8975992041943422,1
Male,84,-2.2684480800800166,-0.8222130583697254,5,0,0.11749743611591194,0
Female,67,-2.0278957739501164,1.326193408791234,7,0,-0.8975992041943422,0
Female,78,-2.355921645945435,-1.3235079007072825,5,0,0.11749743611591194,0
Female,4,-0.584581937170714,0.10876307740002361,0,9,-1.4051475243494693,1
Female,29,-1.0656865494305148,-0.6073724116536294,5,0,0.11749743611591194,0
Male,91,-2.2247112971473078,1.612647604412695,5,1,0.6250457562710391,0
Male,95,-1.6342647275557338,-0.5715656372009468,9,0,0.11749743611591194,0
Male,55,-1.6123963360893794,0.8248985664536767,7,1,0.11749743611591194,0
Female,14,-1.3281072470267699,-1.4309282240653305,0,1,-0.8975992041943422,0
Male,92,-0.6064503286370686,-1.2518943518019172,4,1,0.6250457562710391,0
Female,65,-0.6939238945024869,-1.2160875773492346,0,0,-0.3900508840392152,0
Female,84,-1.5467911616903156,-1.3235079007072825,5,1,0.11749743611591194,0
Female,77,-1.3937124214258336,0.25199017521075423,0,0,1.1325940764261662,0
Female,53,-2.3340532544790804,-1.1086672539911866,0,0,0.11749743611591194,0
Female,28,-1.5905279446230247,0.8607053409063593,3,7,-0.8975992041943422,1
Male,23,-2.4215268203444986,1.612647604412695,1,1,-0.3900508840392152,0
Female,32,-2.2684480800800166,-1.2518943518019172,0,1,-0.8975992041943422,0
Female,37,-1.524922770223961,-1.7531891941394744,0,1,-0.8975992041943422,0
Female,89,-1.000081375031451,-1.8248027430448397,2,0,0.6250457562710391,0
Male,80,-1.9841589910174071,1.505227281054647,2,1,-0.3900508840392152,0
Female,27,-1.4593175958248972,0.5026375963795328,1,8,-1.4051475243494693,1
Female,78,-2.355921645945435,-1.3235079007072825,0,5,0.11749743611591194,1
Female,86,-0.847002634766969,-1.3593146751599652,7,7,-0.3900508840392152,1
Female,46,-1.8310802507529251,-0.6789859605589947,2,4,0.11749743611591194,0
Male,59,-0.5627135457043595,-0.07027079486338966,7,4,-0.8975992041943422,0
Male,12,-1.5905279446230247,-1.180280802896552,4,10,-1.4051475243494693,1
Male,79,-0.8251342433006145,1.612647604412695,6,6,1.6401423965812933,1
Female,79,-1.0219497664978057,0.46683082192685016,0,2,-0.3900508840392152,0
Male,26,-1.8529486422192798,0.32360372411611954,4,6,0.11749743611591194,1
Female,63,-1.3937124214258336,-1.2518943518019172,0,2,-0.3900508840392152,0
Female,52,-1.6561331190220885,1.218773085433186,1,2,1.1325940764261662,0
Female,32,-1.743606684887507,-0.965440156180456,7,2,-0.3900508840392152,0
Female,64,-2.137237731281889,-0.46414531384289887,2,3,0.11749743611591194,0
Female,37,-0.6939238945024869,-1.4667349985180131,6,1,1.6401423965812933,0
Male,7,-0.6283187201034232,-0.4283385393902162,3,2,-0.8975992041943422,0
Female,40,-1.8092118592865705,0.6100579197375807,0,1,-1.4051475243494693,0
Female,78,-1.6342647275557338,1.00393243871709,0,0,-0.3900508840392152,0
Female,34,-2.246579688613662,0.896512115359042,3,6,1.1325940764261662,1
Female,52,-0.4971083713052957,-0.4283385393902162,0,1,-0.8975992041943422,0
Male,94,-0.43150319690623196,-0.5357588627482641,3,0,0.11749743611591194,0
Female,1,-2.159106122748244,1.111352762075138,1,0,-0.3900508840392152,0
Female,96,-2.399658428878144,0.896512115359042,3,0,-0.3900508840392152,0
Female,18,0.7056531593442062,1.720067927770743,0,0,-0.8975992041943422,0
Female,37,-2.0278957739501164,0.21618340075807158,0,1,-0.8975992041943422,0
Male,78,-1.000081375031451,1.3620001832439166,7,1,-0.8975992041943422,0
Male,16,-2.2247112971473078,1.326193408791234,4,7,0.11749743611591194,1
Male,93,-0.34402963104081363,-1.072860479538504,0,1,-1.4051475243494693,0
Female,74,-0.7157922859688415,-1.3951214496126478,2,9,-0.3900508840392152,1
Male,68,-1.371844029959479,0.789091792000994,5,3,-0.3900508840392152,0
Female,32,-1.0438181579641603,1.2903866343385513,4,1,0.11749743611591194,0
Female,43,-0.5627135457043595,0.4310240474741675,8,1,-0.8975992041943422,0
Female,52,-1.4811859872912518,0.25199017521075423,0,1,-0.3900508840392152,0
Female,63,-0.8032658518342598,-1.1086672539911866,0,1,-0.8975992041943422,0
Female,33,-0.9563445920987419,-1.4309282240653305,5,0,-1.4051475243494693,0
Male,86,-1.1312917238295785,-0.39253176493753356,0,0,-1.4051475243494693,0
Female,85,0.6400479849451425,1.1829663109805033,3,1,-1.4051475243494693,0
Female,73,-1.743606684887507,-0.14188434376875497,5,1,-0.8975992041943422,0
Female,21,-2.312184863012726,1.4336137321492817,8,0,-1.4051475243494693,0
Female,93,-2.006027382483762,0.25199017521075423,2,1,-0.3900508840392152,0
Male,9,-1.8310802507529251,0.39521727302148485,3,7,-1.4051475243494693,1
Female,10,-0.9344762006323873,1.0397392131697727,1,6,-0.3900508840392152,1
Male,11,-1.5905279446230247,0.5384443708322154,0,8,2.1476907167364208,1
Female,48,-1.3281072470267699,-0.5357588627482641,2,6,0.11749743611591194,1
Female,73,-0.6720555030361324,0.789091792000994,3,2,-0.8975992041943422,0
Female,66,-0.9126078091660328,-0.2851114415794856,4,9,-0.3900508840392152,1
Female,79,-1.743606684887507,1.4336137321492817,2,3,-0.3900508840392152,0
Male,62,-0.5189767627716503,-0.3567249904848509,1,6,-0.8975992041943422,1
Male,17,-0.6939238945024869,-1.2518943518019172,0,1,-0.3900508840392152,0
Male,32,-1.7217382934211523,1.2545798598858686,3,5,-0.8975992041943422,1
Male,85,0.9415474980917731,1.7558747022234256,3,3,-0.3900508840392152,0
Male,31,-0.3254196299029459,-1.2518943518019172,5,5,-0.8975992041943422,1
Female,31,0.7497179681489107,0.789091792000994,5,6,-0.3900508840392152,1
Female,38,0.8267821796763443,-1.574155321876061,5,5,-0.8975992041943422,1
Female,90,0.14405099809675426,-1.072860479538504,7,1,-0.8975992041943422,0
Female,65,1.52009766272565,-0.8938266072750907,8,6,-0.8975992041943422,1
Female,63,1.1878949279602575,-1.3951214496126478,0,4,-0.8975992041943422,0
Female,61,0.21333006226216555,-1.3235079007072825,1,0,-0.8975992041943422,0
Male,26,0.04448421175044184,1.1471595365278207,2,8,0.11749743611591194,1
Female,17,1.0006140234423968,0.5026375963795328,2,1,0.11749743611591194,0
Male,56,-0.2880028121040132,-1.2877011262545999,4,5,1.1325940764261662,1
Female,12,-0.7267046133105525,-0.75059950946436,2,5,0.11749743611591194,1
Female,24,0.1655476269081808,1.7558747022234256,7,5,-1.4051475243494693,1
Female,13,-1.0158922220616253,-1.5025417729706958,4,9,0.11749743611591194,1
Male,12,-1.2422300737383953,0.9323188898117246,1,2,-0.3900508840392152,0
Male,72,-0.36762562543301025,1.505227281054647,7,9,-0.8975992041943422,1
Female,54,0.4661067992217582,-1.5383485474233785,6,4,0.11749743611591194,0
Male,45,1.5851342589465884,1.4336137321492817,0,7,-0.8975992041943422,1
Male,66,1.579011109336009,-0.2493046671268029,8,8,-1.4051475243494693,1
Female,27,-0.9285279981535389,0.18037662630538892,5,8,0.11749743611591194,1
Male,36,-0.8942164919428285,-1.072860479538504,2,10,-0.8975992041943422,1
Male,5,-0.9109020746316571,0.32360372411611954,7,13,-1.4051475243494693,1
Female,89,-0.0014175419374364232,1.7558747022234256,5,2,0.11749743611591194,0
Male,13,-0.33377335544309333,1.5410340555073296,1,6,-1.4051475243494693,1
Female,91,-0.17212220572380027,-0.39253176493753356,0,4,-1.4051475243494693,0
Male,16,0.4990187283786218,-1.574155321876061,0,3,-1.4051475243494693,0
Female,63,-1.0090692839241229,1.3978069576965992,2,7,-1.4051475243494693,1
Male,52,0.9189793180984952,-0.4283385393902162,2,4,-0.8975992041943422,0
Female,37,-0.4027899989109084,0.25199017521075423,5,1,0.6250457562710391,0
Female,78,-0.258261799709771,-1.7531891941394744,0,2,-0.3900508840392152,0
Male,24,1.205258430784543,-0.6431791861063121,2,0,0.11749743611591194,0
Female,4,-0.372174250858012,0.39521727302148485,2,3,0.11749743611591194,0
Male,84,0.5884604494760121,0.5742511452848981,5,0,0.6250457562710391,0
Male,0,1.3779531181943452,1.612647604412695,0,0,0.11749743611591194,0
Female,67,0.11796200707739324,0.25199017521075423,3,10,-0.8975992041943422,1
Female,32,0.03311264818793746,-0.75059950946436,5,8,-0.3900508840392152,1
Female,39,-0.9042103468429525,0.8607053409063593,5,1,0.6250457562710391,0
Female,68,-0.7479606898158491,0.39521727302148485,5,0,-0.8975992041943422,0
Female,7,0.2858675167560637,-0.8222130583697254,1,14,-1.4051475243494693,1
Female,76,-0.9280906303242118,0.14456985185270627,0,8,-0.8975992041943422,1
Female,84,1.3657505557561194,1.720067927770743,0,3,-1.4051475243494693,0
Male,75,0.6845282931877077,1.111352762075138,3,1,0.11749743611591194,0
Male,22,-0.06103077707471901,0.3594104985688022,0,0,-1.4051475243494693,0
Female,90,0.8552329569740715,0.3594104985688022,2,1,-1.4051475243494693,0
Female,4,0.824420393397978,1.720067927770743,5,1,2.1476907167364208,0
Female,78,0.34698967090452476,1.1829663109805033,7,0,-0.3900508840392152,0
Female,58,-1.1710921962983438,-1.0370537050858213,5,9,-1.4051475243494693,1
Female,99,1.611573144229411,-0.3567249904848509,0,9,-1.4051475243494693,1
Female,24,0.882459104349683,-0.4283385393902162,8,2,0.6250457562710391,0
Female,88,1.2109660809572615,1.6842611533180603,0,13,0.11749743611591194,1
